,Unnamed: 0,Brand,Title,Sku,Model,Url,Categories
1157,1157,Samsung,Food Showcase 22.4-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Tuscan Stainless Steel) ENERGY STAR,876275,RF22R7351DT,https://www.lowes.com/pd/Samsung-Food-Showcase-22-4-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Tuscan-Stainless-Steel-ENERGY-STAR/1000842140,['Counter-Depth Refrigerators']
1158,1158,Cafe,Hot Water Dispenser 22.2-cu ft Counter-depth French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,1323696,CYE22TP2MS1,https://www.lowes.com/pd/Cafe-Hot-Water-Dispenser-22-2-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1000842482,['Counter-Depth Refrigerators']
1159,1159,Cafe,23.1-cu ft Counter-depth French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,1323695,CWE23SP2MS1,https://www.lowes.com/pd/Cafe-23-1-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1000842474,['Counter-Depth Refrigerators']
1160,1160,Samsung,Food Showcase 22.4-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1295708,RF22R7351SG,https://www.lowes.com/pd/Samsung-Food-Showcase-22-4-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000842128,['Counter-Depth Refrigerators']
1161,1161,Samsung,22.6-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR,1319200,RF24R7201SG,https://www.lowes.com/pd/Samsung-22-6-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000842134,['Counter-Depth Refrigerators']
1162,1162,Samsung,Food Showcase 22.4-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1295707,RF22R7351SR,https://www.lowes.com/pd/Samsung-Food-Showcase-22-4-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000842122,['Counter-Depth Refrigerators']
1163,1163,Samsung,22.6-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Tuscan Stainless Steel) ENERGY STAR,1295706,RF24R7201DT,https://www.lowes.com/pd/Samsung-22-6-cu-ft-4-Door-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Tuscan-Stainless-Steel-ENERGY-STAR/1000842116,['Counter-Depth Refrigerators']
1164,1164,Whirlpool ,23.8-cu ft 3-Door Counter-Depth 36-in French Door Refrigerator with Exterior Ice and Water Dispenser - White,880341,WRF954CIHW,https://www.lowes.com/pd/Whirlpool-23-8-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-White-ENERGY-STAR/1000337015,['Counter-Depth Refrigerators']
1165,1165,Whirlpool ,23.8-cu ft 3-Door Counter-Depth 36-in French Door Refrigerator with Exterior Ice and Water Dispenser - Black,880339,WRF954CIHB,https://www.lowes.com/pd/Whirlpool-23-8-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Black-ENERGY-STAR/1000337007,['Counter-Depth Refrigerators']
1166,1166,Bosch ,300 20.2-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,1025470,B20CS30SNS,https://www.lowes.com/pd/Bosch-300-20-2-cu-ft-Counter-depth-Side-by-Side-Refriger/1000379109,['Counter-Depth Refrigerators']
